spotify_id,community,artist,popularity,followers,genre
7CMzEHSpUYD3RLQ13kF7UM,33,Croupie,33,806.0,ukrainian viral pop
1gs79u8PKkWAW1yfymbkTt,4,MILES,45,30472.0,trap italiana
54dqxLAclwu0QSaTwCyCaF,4,Neffa,56,282784.0,italian adult pop
3iPdJaQD2j4rJXuDUmegE8,33,Mario,1,866.0,italian pop
1Sl3idO2XzH3AVb6nOjOxs,70,Reda Rwena,41,66796.0,german drill
5ELPejPzr90MkvmpQEr3RU,35,Phuong Linh,28,35081.0,v-pop
73c2MjCAFNyKYIs7nBlqG2,46,Marisela,66,1539543.0,latin pop
5tSLi6cjbhBiEZzNZrOeMs,42,Piateed,23,1755.0,Unknown
5zId1SmYy46E9v2KQsSTFR,29,Whales,59,31852.0,bass trap
1bVvwhtHbD84F522mOiFBC,47,Milan Stankovic,36,36374.0,turbo folk
1PruL3P8slDEQAjSuOjuPd,7,Spiff TV,46,6179.0,Unknown
7n3wIDVz0iAhBdZEFveZI7,13,Julie Maria,20,3289.0,danish singer-songwriter
4vIsAZx8AolYa6paJphDGY,38,Nirvair Pannu,59,243517.0,desi pop
183DgO92lAqgpVVNKI7ZKF,38,Raj Ranjodh,46,52436.0,desi hip hop
5GBXwBVQufRCmwI1bNRIUo,35,Only C,47,353673.0,v-pop
3J7r4VsNmuWixU0nXvyPd8,32,Kalash,61,470056.0,french hip hop
60XHOAhvEBiV6BGBOv8ClM,7,La Joaqui,60,144621.0,argentine hip hop
2C0Cu6wbLYQyXl8MDwH2JE,42,Nathaniel,36,9006.0,australian pop
2eRNMtoi82UZUuaL6naDjA,32,Cœur De Pirate,57,451651.0,chanson
1l9YwTDjZXZgnAOlLKEuRP,42,Frank Friendly,5,292.0,Unknown
0MZ55DwuMQ1B2TXq9lcrE4,70,Kraftklub,63,762956.0,german indie
1yzgJmZf5CxtFfGfRFm4Si,38,Gajendra Verma,62,1688081.0,desi pop
5GIcOzVFTNnzArytjmTkW8,18,Bizzey,62,368880.0,dutch hip hop
2DIegoHjgAlIc6HYGGbu4h,16,Sophie Chen,46,11122.0,mandopop
39yVoqm6sYFvvqF1RciUVf,7,Carlos Rivera,72,3727370.0,latin arena pop
6ghiFYcwn2Vzl6K50U0UPz,25,Michael Ray,56,430842.0,contemporary country
1frSJ3BwjRHE9jgMRQV5wC,13,Zookeepers,45,8206.0,bass trap
36PxHmbx5QrRTpuCaw4FuV,3,Youngn Lipz,54,78679.0,aussie drill
4vhqcVj9Z97OmzOY9ha2Ho,7,Enero,20,6910.0,cumbia pop
1KQJOTeIMbixtnSWY4sYs2,4,Paky,71,491113.0,italian hip hop
0fM4WhKpjJZc3a0eX947Tc,32,Sirius,25,1.0,Unknown
4Gu5S2cvAxuZvPgqs5zW7e,7,Sonora Palacios,45,53866.0,cumbia chilena
3lDpdwM8KILepMHqBWUhIA,57,The Struts,58,314006.0,glam rock
5aINmhPWfAHvZ5qaMdBezq,7,Amatria,39,19055.0,latin rock
52kkq3LdnSafdKRWjNqKBw,18,Rotjoch,54,3871.0,dutch hip hop
3nEiRzdQNmkUgoknNt9IRu,42,Niklas Strömstedt,39,37205.0,classic swedish pop
0xECfhlRzRRIIe2Co5HX6n,32,Squeezie,52,367412.0,chanson virale
6SGCqG5HEr5gFZR9ct8wID,7,Matías Valdez,58,44663.0,cumbia pop
6y5amJcTjeDgLXIjtQLMst,15,SAYGRACE,57,173252.0,dance pop
5rhznZjKfSxtKVqB0JZtpC,21,Bonde R300,42,575282.0,funk carioca
4nT1hsAySSK78ycor1bVn0,49,Dengaz,32,66996.0,hip hop tuga
6KGWY3YSxi1rBESkloCZTo,27,Ezad Lazim,29,5734.0,malaysian pop
5SVGhU7cTodC79weaAmjYy,49,Karetus,37,39121.0,hip hop tuga
4mYFgEjpQT4IKOrjOUKyXu,50,Wheatus,63,126347.0,pop rock
78sIlhMniFgXlOrNWnPtIl,38,Tegi Pannu,61,196582.0,desi hip hop
1S2S00lgLYLGHWA44qGEUs,15,Gen Hoshino,64,1412333.0,j-acoustic
4IkfIjJ8uVC6anPFCBUhNE,70,Cap Gold,25,946.0,Unknown
78xUyw6FkVZrRAtziFdtdu,15,The Roots,59,1216070.0,alternative hip hop
4Sm7JCttzWMwHJtb3UJ8SY,7,Mocedades,56,584481.0,bolero
1xr2G8Hlx4QWmT9HaUbmoO,15,Young Stoner Life,65,90775.0,hip hop
4KJ6jujcNPzOyhdNoiNftp,15,lovelytheband,61,360970.0,indie poptimism
5lLVx3mMyUvZ9QKzM09CZa,33,Khrystyna Soloviy,45,158107.0,ukrainian folk rock
6fXPelw8Z7kOBY0waHAdwO,51,Nks,32,18466.0,hungarian hip hop
0WleeEe3UurwlNbDGhb5Yz,27,ALLMO$T,53,821638.0,opm
4HyBLptfM7nZhrcss4if7x,35,Ung Hoang Phuc,37,195065.0,v-pop
48h12D3cJbqfn1ReVL9qbw,34,Strat,56,29039.0,greek drill
6xF3XdxG7VHRmQmTJxRqX8,21,Manu Gavassi,53,724049.0,funk carioca
38Bf9u0Tg0JOEcjxzqSuAj,46,JR Torres,60,53365.0,corrido
145zDAbvELoocgZ4bZrSXe,27,3 Composers,46,27283.0,indonesian pop
6NhHJhA9RUuIkeGgecjRBM,11,UNICEF Iceland,6,228.0,icelandic hip hop
2h93pZq0e7k5yf4dywlkpM,15,Frank Ocean,83,9951370.0,hip hop
0GykMtlKoc68Hj2jwZLXul,9,Nosowska,44,98696.0,polish alternative
35EByCqBoI2ze5Gf1cqdQu,18,Brent,29,5330.0,Unknown
5ylOD196qui8JgXBrQUzok,32,Kyo,51,244161.0,chanson
7kUbO9TQchk9kF6nvfhOcY,21,Thascya,12,1876.0,Unknown
12GqGscKJx3aE4t07u7eVZ,46,Peso Pluma,72,72985.0,corrido
57RYqNhEvaNiafuP1X73GS,18,Equalz,48,75937.0,dutch hip hop
2VdxcRZenJ5qgyMjZv5wOI,39,One Function,25,4771.0,progressive psytrance
1WU701LQ9Ox2byHTHa1aM7,53,niinja,24,78.0,Unknown
2QslFlDyZVpLYwfqyRDkNs,17,Onur Can Özcan,60,1079883.0,turkce slow sarkilar
7hB5MsPRlZ0sz1syE8upIK,51,Zävodi,6,644.0,Unknown
1wKDGglKV4FsFS85r2Dmpr,7,Airbag,61,363911.0,argentine rock
